,gkz,ort,lat,lon
14899,08226027,Heddesbach,49.48208999633789,8.827739715576172
14901,08226029,Heiligkreuzsteinach,49.48543167114258,8.797100067138672
14929,08226086,Spechbach,49.34587860107422,8.883970260620117
14935,08226099,Wilhelmsfeld,49.47018051147461,8.754420280456543
14939,08226104,Lobbach,49.35884094238281,8.871760368347168
14949,08337076,Murg,47.55376052856445,8.023520469665527
14951,08337116,Wehr,47.62928009033203,7.904530048370361
17387,08315004,Auggen,47.78776168823242,7.592209815979004
17388,08315007,Badenweiler,47.80556106567383,7.679379940032959
17389,08315022,Buggingen,47.8478889465332,7.6373701095581055
17393,08336006,Bad Bellingen,47.73189926147461,7.55728006362915
17394,08336078,Schliengen,47.75587844848633,7.575940132141113
17827,08235025,Enzklösterle,48.67097854614258,8.475509643554688
17907,08237032,Grömbach,48.57189178466797,8.546819686889648
17911,08237072,Wörnersberg,48.561248779296875,8.562270164489746
18086,08237030,Glatten,48.44071960449219,8.515569686889648
18914,08325050,Schenkenzell,48.31111145019531,8.372579574584961
18915,08325051,Schiltach,48.29032897949219,8.34257984161377
18918,08325070,Fluorn-Winzeln,48.3001708984375,8.487409591674805
18936,08237075,Bad Rippoldsau-Schapbach,48.42831039428711,8.327899932861328
19035,08317008,Bad Peterstal-Griesbach,48.430320739746094,8.209159851074219
19138,08317145,Wolfach,48.30289077758789,8.220760345458984
19232,08317093,Oberwolfach,48.31740188598633,8.21697998046875
19339,08315003,Au,47.956871032714844,7.8297600746154785
19343,08315008,Ballrechten-Dottingen,47.860591888427734,7.7007598876953125
19345,08315014,Bollschweil,47.91994094848633,7.779240131378174
19347,08315016,Breitnau,47.94007110595703,8.076129913330078
19348,08315020,Buchenbach,47.961360931396484,8.007670402526855
19350,08315028,Ebringen,47.95758056640625,7.779809951782227
19352,08315031,Eisenbach (Hochschwarzwald),47.960838317871094,8.268369674682617
19353,08315033,Eschbach,47.89080047607422,7.652210235595703
19354,08315037,Feldberg (Schwarzwald),47.856998443603516,8.110159873962402
19355,08315039,Friedenweiler,47.91632843017578,8.255160331726074
19356,08315041,Glottertal,48.05017852783203,7.934569835662842
19357,08315043,Gottenheim,48.04998016357422,7.727330207824707
19359,08315048,Hartheim am Rhein,47.936920166015625,7.627019882202148
19361,08315051,Heuweiler,48.05131149291992,7.902850151062012
19362,08315052,Hinterzarten,47.90644836425781,8.104680061340332
19363,08315056,Horben,47.93223190307617,7.859029769897461
19366,08315068,Lenzkirch,47.86867141723633,8.20149040222168
19368,08315072,Merdingen,48.01728820800781,7.688660144805908
19372,08315084,Oberried,47.9315299987793,7.945069789886475
19373,08315089,Pfaffenweiler,47.94132995605469,7.754449844360352
19374,08315094,St. Märgen,48.00767135620117,8.092659950256348
19375,08315095,St. Peter,48.0158805847168,8.035320281982422
19377,08315102,Schluchsee,47.81705093383789,8.178299903869629
19378,08315107,Sölden,47.933109283447266,7.809700012207031
19381,08315111,Sulzburg,47.84080123901367,7.7081298828125
19384,08315125,Wittnau,47.94660949707031,7.814000129699707
19385,08315130,Münstertal/Schwarzwald,47.855438232421875,7.78741979598999
19388,08315133,Vogtsburg im Kaiserstuhl,48.089168548583984,7.631669998168945
19389,08316002,Bahlingen am Kaiserstuhl,48.12282180786133,7.739049911499023
19390,08316003,Biederbach,48.21836853027344,8.026689529418945
19392,08316010,Elzach,48.17353820800781,8.07151985168457
19395,08316013,Forchheim,48.16371154785156,7.70320987701416
19396,08316014,Gutach im Breisgau,48.11888122558594,7.987989902496338
19399,08316024,Malterdingen,48.163021087646484,7.793920040130615
19400,08316036,Reute,48.081748962402344,7.825379848480225
19401,08316037,Riegel am Kaiserstuhl,48.15055847167969,7.75
19402,08316038,Sasbach am Kaiserstuhl,48.138221740722656,7.613890171051025
19403,08316039,Sexau,48.10424041748047,7.907879829406738
19404,08316042,Simonswald,48.102779388427734,8.048379898071289
19406,08316045,Vörstetten,48.06391143798828,7.85113000869751
19407,08316049,Weisweil,48.19765090942383,7.676219940185547
19408,08316051,Wyhl am Kaiserstuhl,48.166358947753906,7.649409770965576
19409,08316053,Rheinhausen,48.22679138183594,7.710529804229736
19410,08316054,Freiamt,48.17863082885742,7.9061198234558105
19411,08316055,Winden im Elztal,48.15459060668945,8.043370246887207
19416,08317009,Berghaupten,48.40668869018555,7.987150192260742
19417,08317011,Biberach,48.338958740234375,8.027750015258789
19422,08317039,Gutach (Schwarzwaldbahn),48.250511169433594,8.210209846496582
19424,08317041,Hausach,48.28422164916992,8.171890258789062
19426,08317051,Hornberg,48.212158203125,8.230010032653809
19429,08317059,Kippenheim,48.294490814208984,7.824629783630371
19434,08317075,Meißenheim,48.409061431884766,7.777560234069824
19435,08317078,Mühlenbach,48.25632095336914,8.10789966583252
19436,08317085,Nordrach,48.398990631103516,8.08080005645752
19437,08317088,Oberharmersbach,48.37406921386719,8.127619743347168
19446,08317113,Ringsheim,48.24631881713867,7.780409812927246
19447,08317114,Rust,48.268741607666016,7.725689888000488
19450,08317121,Schuttertal,48.270870208740234,7.955619812011719
19452,08317127,Seelbach,48.309871673583984,7.9410600662231445
19453,08317129,Steinach,48.305259704589844,8.058210372924805
19468,08326020,Gütenbach,48.04402160644531,8.13817024230957
19470,08326031,Königsfeld im Schwarzwald,48.13909912109375,8.42177963256836
19471,08326037,Mönchweiler,48.10060119628906,8.429340362548828
19474,08326055,Schonach im Schwarzwald,48.14299011230469,8.201629638671875
19475,08326060,Triberg im Schwarzwald,48.130638122558594,8.231889724731445
19476,08326065,Unterkirnach,48.07857894897461,8.366089820861816
19477,08326068,Vöhrenbach,48.04521179199219,8.304920196533203
19490,08335055,Moos,47.72589111328125,8.933119773864746
19491,08335061,Öhningen,47.66162109375,8.89136028289795
19497,08335081,Volkertshausen,47.82228088378906,8.862700462341309
19498,08335097,Mühlhausen-Ehingen,47.807918548583984,8.818659782409668
19503,08336008,Binzen,47.63132858276367,7.624040126800537
,08336010,Böllen,47.801944,7.840833
19504,08336014,Efringen-Kirchen,47.649959564208984,7.564509868621826
19505,08336019,Eimeldingen,47.631099700927734,7.595170021057129
19506,08336036,Hausen im Wiesental,47.681400299072266,7.840569972991943
19507,08336043,Inzlingen,47.588111877441406,7.687719821929932
19508,08336045,Kandern,47.7145881652832,7.662230014801025
19510,08336057,Maulburg,47.640750885009766,7.777850151062012
19512,08336073,Rümmingen,47.64099884033203,7.641429901123047
19514,08336079,Schönau im Schwarzwald,47.78667068481445,7.894169807434082
19517,08336087,Todtnau,47.829490661621094,7.947350025177002
19519,08336096,Wieden,47.84169006347656,7.881400108337402
19520,08336103,Zell im Wiesental,47.70751953125,7.85299015045166
19521,08336104,Malsburg-Marzell,47.77116012573242,7.726880073547363
19523,08336107,Kleines Wiesental,47.71992111206055,7.795820236206055
19524,08337002,Albbruck,47.592830657958984,8.12893009185791
19525,08337013,Bernau im Schwarzwald,47.801719665527344,8.036299705505371
19527,08337032,Dogern,47.60884094238281,8.172410011291504
19529,08337039,Grafenhausen,47.77521896362305,8.261899948120117
19530,08337049,Herrischried,47.66585922241211,8.001620292663574
19531,08337053,Hohentengen am Hochrhein,47.571739196777344,8.439620018005371
19532,08337060,Jestetten,47.65296936035156,8.575719833374023
19533,08337062,Klettgau,47.66107940673828,8.420109748840332
19534,08337065,Lauchringen,47.630950927734375,8.303939819335938
19535,08337066,Laufenburg (Baden),47.565128326416016,8.060799598693848
19537,08337090,Rickenbach,47.61888885498047,7.977729797363281
19539,08337097,St. Blasien,47.761531829833984,8.128510475158691
19540,08337106,Stühlingen,47.74541091918945,8.446579933166504
19541,08337108,Todtmoos,47.74137878417969,8.004340171813965
19543,08337118,Weilheim,47.65861129760742,8.240559577941895
19544,08337123,Wutöschingen,47.65922927856445,8.366180419921875
19545,08337125,Küssaberg,47.58776092529297,8.304960250854492
19547,08337128,Ühlingen-Birkendorf,47.72037124633789,8.31857967376709
19555,08435036,Meersburg,47.69462966918945,9.272509574890137
19560,08437118,Wald,47.935848236083984,9.172459602355957
20067,08337127,Wutach,47.8386116027832,8.444669723510742
20221,08337045,Häusern,47.753971099853516,8.168669700622559
20222,08337051,Höchenschwand,47.734291076660156,8.16491985321045
20515,08317046,Hofstetten,48.26094055175781,8.07129955291748
21047,08317029,Fischerbach,48.287071228027344,8.110969543457031
21282,08326054,Schönwald im Schwarzwald,48.104061126708984,8.204739570617676
22032,08325024,Hardt,48.18394088745117,8.410590171813965
22040,08325071,Eschbronn,48.184940338134766,8.457340240478516
22062,08417014,Dautmergen,48.24277114868164,8.740010261535645
22167,08417078,Zimmern unter der Burg,48.22010040283203,8.719659805297852
22205,08326061,Tuningen,48.02582931518555,8.601490020751953
22210,08327005,Balgheim,48.06589889526367,8.762419700622559
22211,08327009,Deilingen,48.17641830444336,8.783949851989746
22213,08327011,Dürbheim,48.0583610534668,8.789039611816406
22214,08327012,Durchhausen,48.0390510559082,8.675450325012207
22217,08327019,Gosheim,48.13467025756836,8.759429931640625
22218,08327020,Gunningen,48.045379638671875,8.69668960571289
22220,08327033,Mahlstetten,48.07501983642578,8.835100173950195
22224,08327051,Wehingen,48.145999908447266,8.791729927062988
22225,08327054,Wurmlingen,48.002708435058594,8.77711009979248
22226,08327055,Seitingen-Oberflacht,48.019989013671875,8.727219581604004
22227,08327056,Rietheim-Weilheim,48.03913879394531,8.783260345458984
22237,08417015,Dormettingen,48.23862075805664,8.771089553833008
22244,08417052,Ratshausen,48.19438934326172,8.794469833374023
22247,08417071,Weilen unter den Rinnen,48.1898193359375,8.764619827270508
22562,08335080,Tengen,47.81721878051758,8.660280227661133
22566,08437053,Hohentengen,48.02870178222656,9.376079559326172
22631,08327048,Talheim,49.08449935913086,9.19495964050293
22634,08327057,Emmingen-Liptingen,47.9288215637207,8.85303020477295
22929,08327006,Böttingen,48.10009002685547,8.807689666748047
22934,08327016,Fridingen an der Donau,48.02070999145508,8.931110382080078
22939,08327023,Hausen ob Verena,48.05339050292969,8.723549842834473
22942,08327038,Neuhausen ob Eck,47.97246170043945,8.927789688110352
22952,08335001,Aach,47.84309005737305,8.849499702453613
23028,08417045,Nusplingen,48.13190841674805,8.890640258789062
23050,08327013,Egesheim,48.11606979370117,8.856369972229004
23052,08327029,Königsheim,48.100379943847656,8.864290237426758
23053,08327040,Reichenbach am Heuberg,48.131778717041016,8.841170310974121
23061,08437072,Leibertingen,48.04267883300781,9.015769958496094
23109,08327007,Bubsheim,48.119598388671875,8.829489707946777
23114,08327004,Bärenthal,48.073909759521484,8.927669525146484
23115,08327008,Buchheim,48.01100158691406,8.986709594726562
23117,08327027,Irndorf,48.06645965576172,8.972410202026367
23118,08327030,Kolbingen,48.05097961425781,8.887849807739258
23127,08437102,Schwenningen,48.106380462646484,8.996190071105957
23130,08437123,Sauldorf,47.94343185424805,9.107210159301758
23187,08327041,Renquishausen,48.08327102661133,8.893329620361328
